creationDate,startDate,endDate,kcalBurned,milesCycled
2018-06-29 09:18:34 -0700,2018-06-25 14:33:21 -0700,2018-06-25 14:57:58 -0700,189.2,4.50786
2018-06-29 09:19:23 -0700,2018-06-27 07:23:32 -0700,2018-06-27 07:49:30 -0700,202.8,4.57708
2018-06-29 09:21:43 -0700,2018-06-06 15:57:40 -0700,2018-06-06 16:23:33 -0700,126.1,4.4584
2018-07-01 10:11:50 -0700,2018-07-01 07:28:10 -0700,2018-07-01 10:09:06 -0700,973.5,35.2975
2018-07-02 07:51:15 -0700,2018-07-02 07:23:48 -0700,2018-07-02 07:49:54 -0700,202.1,4.54017
2018-07-22 09:17:29 -0700,2018-07-22 06:29:05 -0700,2018-07-22 09:14:52 -0700,986,35.4324
2018-07-23 07:40:09 -0700,2018-07-23 07:12:34 -0700,2018-07-23 07:37:46 -0700,201.6,4.44908
2018-08-02 07:35:43 -0700,2018-08-02 07:07:03 -0700,2018-08-02 07:34:06 -0700,136.8,4.50177
2018-08-03 14:57:27 -0700,2018-08-03 07:01:48 -0700,2018-08-03 07:26:55 -0700,123,4.41988
2018-08-05 10:15:10 -0700,2018-08-05 06:22:53 -0700,2018-08-05 10:13:31 -0700,1386.2,50.8418
2018-08-09 07:23:23 -0700,2018-08-09 06:54:29 -0700,2018-08-09 07:21:20 -0700,136.3,4.53265
2018-08-11 16:52:25 -0700,2018-08-11 07:11:32 -0700,2018-08-11 16:50:58 -0700,3406.4,91.7436
2018-08-17 07:32:40 -0700,2018-08-17 07:03:22 -0700,2018-08-17 07:30:48 -0700,195.3,4.50569
2018-08-17 15:35:23 -0700,2018-08-03 14:31:34 -0700,2018-08-03 14:55:33 -0700,149.7,4.4054
2018-08-17 15:35:23 -0700,2018-08-02 14:45:45 -0700,2018-08-02 15:09:37 -0700,146.6,4.35159
2018-08-17 15:35:23 -0700,2018-06-29 15:13:26 -0700,2018-06-29 15:39:24 -0700,198.3,4.40838
2018-08-17 15:35:23 -0700,2018-08-09 15:10:27 -0700,2018-08-09 15:35:27 -0700,192,4.42267
2018-08-17 15:35:23 -0700,2018-06-27 14:13:20 -0700,2018-06-27 14:38:37 -0700,201.2,4.47046
2018-08-17 15:35:23 -0700,2018-07-25 14:24:02 -0700,2018-07-25 14:51:06 -0700,189,4.38147
2018-08-17 15:35:23 -0700,2018-07-23 07:12:34 -0700,2018-07-23 07:37:46 -0700,201.6,4.44908
2018-08-17 15:35:23 -0700,2018-07-02 15:30:39 -0700,2018-07-02 15:56:04 -0700,197.2,4.4328
2018-08-17 15:37:32 -0700,2018-08-17 15:10:29 -0700,2018-08-17 15:34:58 -0700,146,4.37489
2018-08-19 09:11:51 -0700,2018-08-19 06:54:22 -0700,2018-08-19 09:09:37 -0700,855.9,30.3019
2018-08-24 07:42:22 -0700,2018-08-24 06:55:16 -0700,2018-08-24 07:21:09 -0700,180.7,4.4579
2018-08-24 15:50:47 -0700,2018-08-24 15:21:24 -0700,2018-08-24 15:46:39 -0700,194.3,4.43299
2018-08-26 09:10:15 -0700,2018-08-26 06:57:05 -0700,2018-08-26 09:08:06 -0700,847.3,30.1923
2018-08-27 07:26:52 -0700,2018-08-27 06:54:03 -0700,2018-08-27 07:20:20 -0700,147.5,4.48444
2018-08-27 16:12:53 -0700,2018-08-27 15:31:31 -0700,2018-08-27 15:56:54 -0700,150.1,4.46176
2018-08-29 13:19:43 -0700,2018-08-29 06:51:36 -0700,2018-08-29 07:21:11 -0700,214.2,4.68588
2018-09-04 07:19:13 -0700,2018-09-04 06:50:02 -0700,2018-09-04 07:14:43 -0700,214.4,4.47387
2018-09-17 11:28:18 -0700,2018-09-17 07:04:17 -0700,2018-09-17 07:29:54 -0700,150.2,4.39514
2018-09-19 07:37:43 -0700,2018-09-19 07:11:42 -0700,2018-09-19 07:36:05 -0700,200.8,4.46076
2018-09-19 15:45:37 -0700,2018-09-16 06:52:28 -0700,2018-09-16 09:28:51 -0700,1006.3,30.8776
2018-09-19 15:45:37 -0700,2018-08-29 15:32:49 -0700,2018-08-29 15:57:53 -0700,138.7,4.39819
2018-09-19 15:45:37 -0700,2018-09-04 15:21:39 -0700,2018-09-04 15:48:12 -0700,198.2,4.46741
2018-09-21 07:33:43 -0700,2018-09-21 07:05:14 -0700,2018-09-21 07:31:56 -0700,193,4.50513
